id,nme,shortnme
84932,cd15824,SPRY_PRY_TRIM22
84933,cd15825,SPRY_PRY_TRIM34
84934,cd15826,SPRY_PRY_TRIM15
84935,cd15827,SPRY_PRY_TRIM10
84936,cd15828,SPRY_PRY_TRIM60
84937,cd15829,SPRY_PRY_TRIM75
84938,cd15830,BamD
84939,cd15831,BTAD
84940,cd15832,SNAP
84941,cd15833,ParBc
84942,cl22427,Tropomyosin_1
84943,cl22428,E1_enzyme_family
84944,cl22429,HHH_5
84945,cl22430,CENP-F_leu_zip
84946,cl22431,PKK
84947,cl22432,Sigma70_r4
84948,cl22433,H3TH_StructSpec-5&apos;-nucleases
84949,cl22434,Hint
84950,cl22435,TPP_enzyme_M
84951,cl22436,DUF4221
84952,cl22437,Hint
84953,cl22438,TMF_TATA_bd
84954,cl22439,Ldl_recept_b
84955,cl22440,TIR_2
84956,cl22441,TPR
84957,cl22442,Cep57_CLD
84958,cl22443,HTH_45
84959,cl22444,RNA_pol_Rpb1_2
84960,cl22445,RCSD
84961,cl22446,Nucleoporin_FG
84962,cl22447,SEEEED
84963,cl22448,Inhibitor_I29
84964,cl22449,Oest_recep
84965,cl22450,PRK09588
84966,cl22451,ASF1_hist_chap
84967,cl22452,GAD
84968,cl22453,7TM-7TMR_HD
84969,cl22454,Arm
84970,cl22455,PsbM
84971,cl22456,Merozoite_SPAM
84972,cl22457,zf-C2H2_jaz
84973,cl22458,RICIN
84974,cl22459,Gp_dh_N
84975,cl22460,CARDB
84976,cl22461,RHH_1
84977,cl22462,TIR
84978,cl22463,PsbQ
84979,cl22464,Arrestin_N
84980,cl22465,HC2
84981,cl22466,DAZAP2
84982,cl22467,UPF0154
84983,cl22468,Cytochrom_B559
84984,cl22469,Met_repressor_MetJ
84985,cl22470,AXH
84986,cl22471,MtrF
84987,cl22472,PSI_8
84988,cl22473,PsbY
84989,cl22474,PsaM
84990,cl22475,DUF2129
84991,cl22476,PsbK
84992,cl22477,Ycf9
84993,cl22478,LPP
84994,cl22479,PsbH
84995,cl22480,PqqA
84996,cl22481,PetN
84997,cl22482,Sec63
84998,cl22483,PulK
84999,cl22484,Entericidin
85000,cl22485,Flg_hook
85001,cl22486,Caudal_act
85002,cl22487,DUF1510
85003,cl22488,N_methyl_2
85004,cl22489,Nop25
85005,cl22490,PepSY_TM_2
85006,cl22491,UvrD_C_2
85007,cl22492,Frankia_peptide
85008,cl22493,PsbT
85009,cl22494,BSP_II
85010,cl22495,Gp23
85011,cl22496,TetR_C_6
85012,cl22497,FOLN
85013,cl22498,PlantTI
85014,cl22499,CSF2
85015,cl22500,BH4
85016,cl22501,LisH
85017,cl22502,AgrD
85018,cl22503,DUF2385
85019,cl22504,DUF1146
85020,cl22505,DUF1039
85021,cl22506,Phageshock_PspG
85022,cl22507,Phageshock_PspD
85023,cl22508,RepA1_leader
85024,cl22509,PsbL
85025,cl22510,PSI_PsaJ
85026,cl22511,PsbN
85027,cl22512,PetG
85028,cl22513,DUF496
85029,cl22514,Hc1
85030,cl22515,PsbI
85031,cl22516,PsbJ
85032,cl22517,PSII_Ycf12
85033,cl22518,SspK
85034,cl22519,UPF0223
85035,cl22520,UPF0181
85036,cl22521,HOK_GEF
85037,cl22522,Dak2
85038,cl22523,PRK10344
85039,cl22524,DUF1507
85040,cl22525,DUF1328
85041,cl22526,Tra_M
85042,cl22527,RMF
85043,cl22528,PRK15383
85044,cl22529,LNS2
85045,cl22530,DUF2312
85046,cl22531,CASH
85047,cl22532,Carbam_trans_N
85048,cl22533,MatP
85049,cl22534,UPF0262
85050,cl22535,ATP-synt_ab_N
85051,cl22536,DUF745
85052,cl22537,RALF
85053,cl22538,DUF900
85054,cl22539,SpoIIIAC
85055,cl22540,Forkhead_N
85056,cl22541,TIR-like
85057,cl22542,P22_CoatProtein
85058,cl22543,Ligase_CoA
85059,cl22544,EpsG
85060,cl22545,PROL5-SMR
85061,cl22546,DUF1895
85062,cl22547,Quinoprotein_glucose_dehydrogenase_B
85063,cl22548,DUF3792
85064,cl22549,Peptidase_M73
85065,cl22550,Por_Secre_tail
85066,cl22551,PyrBI_leader
85067,cl22552,Tna_leader
85068,cl22553,gpD
85069,cl22554,DUF2560
85070,cl22555,CRF
85071,cl22556,A_amylase_inhib
85072,cl22557,SPAM
85073,cl22558,Spider_toxin
85074,cl22559,ToxGAP
85075,cl22560,PapG_CBD
85076,cl22561,Amb_V_allergen
85077,cl22562,Microvir_lysis
85078,cl22563,Microvir_H
85079,cl22564,MerE
85080,cl22565,Holin_BlyA
85081,cl22566,FlaC_arch
85082,cl22567,SpvD
85083,cl22568,DUF1181
85084,cl22569,DUF1187
85085,cl22570,UPF0259
85086,cl22571,VirC2
85087,cl22572,VirD1
85088,cl22573,Leu_leader
85089,cl22574,Peptidase_M16
85090,cl22575,Pfg27
85091,cl22576,Bac_small_YrzI
85092,cl22577,Dimeth_Pyl
85093,cl22578,Gmx_para_CXXCG
85094,cl22579,DUF2379
85095,cl22580,DUF2375
85096,cl22581,Myco_arth_vir_N
85097,cl22582,Phenyl_P_gamma
85098,cl22583,UspB
85099,cl22584,BDM
85100,cl22585,CedA
85101,cl22586,YbaJ
85102,cl22587,DUF2583
85103,cl22588,DUF2594
85104,cl22589,DSRB
85105,cl22590,Lysin-Sp18
85106,cl22591,Defensin_1
85107,cl22592,Hormone_2
85108,cl22593,Parathyroid
85109,cl22594,Thymosin
85110,cl22595,ANP
85111,cl22596,IL2
85112,cl22597,Nebulin
85113,cl22598,zf-A20
85114,cl22599,HALZ
85115,cl22600,GIT_SHD
85116,cl22601,RPEL
85117,cl22602,Agro_virD5
85118,cl22603,zf-LSD1
85119,cl22604,Phage_holin
85120,cl22605,PRESAN
85121,cl22606,Type_III_YscG
85122,cl22607,HrpB2
85123,cl22608,LcrG
85124,cl22609,VPEP
85125,cl22610,PGPGW
85126,cl22611,DUF2374
85127,cl22612,Spore_SspJ
85128,cl22613,Spore_YpjB
85129,cl22614,PLN00046
85130,cl22615,YdfZ
85131,cl22616,Gly_rich_SFCGS
85132,cl22617,DUF2649
85133,cl22618,DUF3938
85134,cl22619,Ribosomal_L29e
85135,cl22620,Endothelin
85136,cl22621,Cyt_c_Oxidase_VIII
85137,cl22622,Phage_B
85138,cl22623,COLIPASE
85139,cl22624,PapB
85140,cl22625,DUF576
85141,cl22626,YSIRK_signal
85142,cl22627,PetL
85143,cl22628,YcgL
85144,cl22629,Cyt_c_Oxidase_VIIb
85145,cl22630,Usg
85146,cl22631,NAD4L
85147,cl22632,DUF1033
85148,cl22633,DUF1040
85149,cl22634,PsiB
85150,cl22635,API3
85151,cl22636,DNA_pol3_theta
85152,cl22637,DUF1128
85153,cl22638,UPF0253
85154,cl22639,UPF0257
85155,cl22640,GlpM
85156,cl22641,PsiA
85157,cl22642,DUF1422
85158,cl22643,TetM_leader
85159,cl22644,SspN
85160,cl22645,SpoV
85161,cl22646,GshA
85162,cl22647,GlgS
85163,cl22648,DUF1959
85164,cl22649,DUF2080
85165,cl22650,DUF2093
85166,cl22651,DUF2106
85167,cl22652,DUF2107
85168,cl22653,DUF2109
85169,cl22654,DUF2197
85170,cl22655,KLRAQ
85171,cl22656,ChpXY
85172,cl22657,DUF2496
85173,cl22658,YliH
85174,cl22659,DUF2559
85175,cl22660,DUF2689
85176,cl22661,DUF2767
85177,cl22662,DUF2824
85178,cl22663,TrbE
85179,cl22664,DUF2636
85180,cl22665,PmrD
85181,cl22666,DUF2976
85182,cl22667,DUF3130
85183,cl22668,CHIPS
85184,cl22669,DUF3236
85185,cl22670,DUF3262
85186,cl22671,DUF3561
85187,cl22672,Beta-TrCP_D
85188,cl22673,VirArc_Nuclease
85189,cl22674,Protein_K
85190,cl22675,BofA
85191,cl22676,PRK09781
85192,cl22677,wac
85193,cl22678,PHA02664
85194,cl22679,DUF2614
85195,cl22680,SspP
85196,cl22681,wcaD
85197,cl22682,Ribosomal_S22
85198,cl22683,Tafi-CsgC
85199,cl22684,wcaM
85200,cl22685,YccJ
85201,cl22686,MgrB
85202,cl22687,YedD
85203,cl22688,DUF2810
85204,cl22689,DUF2498
85205,cl22690,MsyB
85206,cl22691,DUF1656
85207,cl22692,YejG
85208,cl22693,BssS
85209,cl22694,Peptidase_S48
85210,cl22695,TrpBP
85211,cl22696,DUF1283
85212,cl22697,UPF0370
85213,cl22698,YebF
85214,cl22699,RepB-RCR_reg
85215,cl22700,zf-CCHC
85216,cl22701,Phage_lysis
85217,cl22702,CaM_binding
85218,cl22703,DUF2388
85219,cl22704,PYST-C1
85220,cl22705,Metallothi_Euk2
85221,cl22706,IQ
85222,cl22707,NMU
85223,cl22708,Plectin
85224,cl22709,AMN1
85225,cl22710,LRR_RI
85226,cl22711,WSN
85227,cl22712,EndIII_4Fe-2S
85228,cl22713,MORN
85229,cl22714,GA
85230,cl22715,IDEAL
85231,cl22716,Col_cuticle_N
85232,cl22717,Pup
85233,cl22718,Phospholamban
85234,cl22719,Chaperone_III
85235,cl22720,DUF2376
85236,cl22721,DUF2187
85237,cl22722,SKA1_N
85238,cl22723,Gastrin
85239,cl22724,GoLoco
85240,cl22725,FBD
85241,cl22726,PHA01077
85242,cl22727,T4_tail_cap
85243,cl22728,DUF1641
85244,cl22729,DUF2059
85245,cl22730,DUF910
85246,cl22731,DUF2188
85247,cl22732,DUF2198
85248,cl22733,DUF1800
85249,cl22734,DDE_Tnp_1_assoc
85250,cl22735,DUF1127
85251,cl22736,DUF1192
85252,cl22737,DUF2273
85253,cl22738,LPAM_2
85254,cl22739,MarB
85255,cl22740,Plasmodium_Vir
85256,cl22741,BBI
85257,cl22742,Gram_pos_anchor
85258,cl22743,Cutinase
85259,cl22744,Lamp
85260,cl22745,LigT_PEase
85261,cl22746,Utp12
85262,cl22747,DUF2450
85263,cl22748,Phage_holin_3
85264,cl22749,SUR7
85265,cl22750,PLA2G12
85266,cl22751,DUF4343
85267,cl22752,TadE
85268,cl22753,Gryzun
85269,cl22754,TRAPPC9-Trs120
85270,cl22755,SF3b1
85271,cl22756,MEF2_binding
85272,cl22757,Tiny_TM_bacill
85273,cl22758,Wx5_PLAF3D7
85274,cl22759,T2SS_PulS_OutS
85275,cl22760,Phage_XkdX
85276,cl22761,MRP-S25
85277,cl22762,DUF4001
85278,cl22763,DUF4271
85279,cl22764,7TM_transglut
85280,cl22765,SP_1775_like
85281,cl22766,mycoplas_M_dom
85282,cl22767,hypothetical_protein
85283,cl22768,TIGR04562
85284,cl22769,Pea-VEAacid
85285,cl22770,CmcH_NodU
85286,cl22771,homeo_ZF_HD
85287,cl22772,PLN00037
85288,cl22773,PRK10698
85289,cl22774,PLN02733
85290,cl22775,PRK15362
85291,cl22776,T7SS_ESX1_EccB
85292,cl22777,DUF2397
85293,cl22778,DUF2344
85294,cl22779,pectate_lyase
85295,cl22780,lanti_MRSA_kill
85296,cl22781,glycosyl_04372
85297,cl22782,small_w_EgtBD
85298,cl22783,HTH_TypR
85299,cl22784,acidic_w_LPXTA
85300,cl22785,Lepto_lipo_1
85301,cl22786,YaiO
85302,cl22787,CcmD_alt_fam
85303,cl22788,haoB_nitrify
85304,cl22789,rpt_T5SS_PEPC
85305,cl22790,SLAP_DUP
85306,cl22791,RK_trnsloc_Pase
85307,cl22792,mob_CxxC_CxxC
85308,cl22793,RiPP_SkfA
85309,cl22794,SkfF
85310,cl22795,Spiro_T2SS_lipo
85311,cl22796,T2SS_GspM_XcpZ
85312,cl22797,hypothetical_protein_LEP1GSC082_4029
85313,cl22798,O_hepto_targRPT
85314,cl22799,PFTS_polysacc
85315,cl22800,Sec_Non_Glob
85316,cl22801,casT3_TIGR04423
85317,cl22802,metallo_McbB
85318,cl22803,Phr_nterm
85319,cl22804,UrcA_uranyl
85320,cl22805,small_Trp_rich
85321,cl22806,lept_O_ant_chp1
85322,cl22807,TIGR04442
85323,cl22808,DUF5840
85324,cl22809,PatC_TenC_TruC
85325,cl22810,halocin_C8_dom
85326,cl22811,Gpos_C8_like
85327,cl22812,lanti_SCO0268
85328,cl22813,Lepto_Lipo_YY_C
85329,cl22814,Lepto_8Cys
85330,cl22815,Lepto_4Cys
85331,cl22816,lipo_MXAN_6521
85332,cl22817,DUF4842
85333,cl22818,lipo_LenA_lepto
85334,cl22819,chaper_lep
85335,cl22820,CGA_synthase
85336,cl22821,CGA_synth_rel
85337,cl22822,reactive_PduG
85338,cl22823,RiPP_XyeA
85339,cl22824,GRASP_targ_2
85340,cl22825,HEPN_AbiV
85341,cl22826,mod_pep_NH_fam
85342,cl22827,VPAMP_CTERM
85343,cl22828,GWxTD_dom
85344,cl22829,rSAM_PoyD
85345,cl22830,MoCo_extend_TAT
85346,cl22831,cyanosortB_assc
85347,cl22832,ELWxxDGT_rpt
85348,cl22833,geobac_encap
85349,cl22834,CDPS
85350,cl22835,CLB_0814_fam
85351,cl22836,Mollicu_LP
85352,cl22837,Peptidase_Mx1
85353,cl22838,sMetMonox_MmoD
85354,cl22839,TIGR04551
85355,cl22840,3TM_mycoplas
85356,cl22841,PKS_assoc
85357,cl22842,ribo_THX
85358,cl22843,membra_charge
85359,cl22844,TIGR04563
85360,cl22845,Synergist_CTERM
85361,cl22846,myxo_TraA_Nterm
85362,cl22847,mollicut_2TM
85363,cl22848,TSP3_1C
85364,cl22849,Lreu_0056_like
85365,cl22850,RGL11
85366,cd15834,TNFRSF1A_teleost
85367,cd15835,TNFRSF1B_teleost
85368,cd15836,TNFRSF11A_teleost
85369,cd15837,TNFRSF26
85370,cd15838,TNFRSF27
85371,cd15839,TNFRSF_viral
85372,cd15840,SNARE_Qa
85373,cd15841,SNARE_Qc
85374,cd15842,SNARE_Qb
85375,cd15843,R-SNARE
85376,cd15844,SNARE_syntaxin5
85377,cd15845,SNARE_syntaxin16
85378,cd15846,SNARE_syntaxin17
85379,cd15847,SNARE_syntaxin7_like
85380,cd15848,SNARE_syntaxin1-like
85381,cd15849,SNARE_Sso1
85382,cd15850,SNARE_syntaxin18
85383,cd15851,SNARE_Syntaxin6
85384,cd15852,SNARE_Syntaxin8
85385,cd15853,SNARE_Bet1
85386,cd15854,SNARE_SNAP47C
85387,cd15855,SNARE_SNAP25C_23C
85388,cd15856,SNARE_SNAP29C
85389,cd15857,SNARE_SEC9C
85390,cd15858,SNARE_VAM7
85391,cd15859,SNARE_SYN8
85392,cd15860,SNARE_USE1
85393,cd15861,SNARE_SNAP25N_23N_29N_SEC9N
85394,cd15862,SNARE_Vti1
85395,cd15863,SNARE_GS27
85396,cd15864,SNARE_GS28
85397,cd15865,SNARE_SEC20
85398,cd15866,R-SNARE_SEC22
85399,cd15867,R-SNARE_YKT6
85400,cd15868,R-SNARE_VAMP8
85401,cd15869,R-SNARE_VAMP4
85402,cd15870,R-SNARE_VAMP2
85403,cd15871,R-SNARE_VAMP7
85404,cd15872,R-SNARE_VAMP5
85405,cd15873,R-SNARE_STXBP5_6
85406,cd15874,R-SNARE_Snc1
85407,cd15875,SNARE_syntaxin7
85408,cd15876,SNARE_syntaxin12
85409,cd15877,SNARE_TSNARE1
85410,cd15878,SNARE_syntaxin11
85411,cd15879,SNARE_syntaxin19
85412,cd15880,SNARE_syntaxin1
85413,cd15881,SNARE_syntaxin3
85414,cd15882,SNARE_syntaxin2
85415,cd15883,SNARE_syntaxin4
85416,cd15884,SNARE_SNAP23C
85417,cd15885,SNARE_SNAP25C
85418,cd15886,SNARE_SEC9N
85419,cd15887,SNARE_SNAP29N
85420,cd15888,SNARE_SNAP47N
85421,cd15889,SNARE_SNAP25N_23N
85422,cd15890,SNARE_Vti1b
85423,cd15891,SNARE_Vti1a
85424,cd15892,R-SNARE_STXBP6
85425,cd15893,R-SNARE_STXBP5
85426,cd15894,SNARE_SNAP25N
85427,cd15895,SNARE_SNAP23N
85428,cd15896,MYSc_Myh19
85429,cd15897,EFh_PEF
85430,cd15898,EFh_PI-PLC
85431,cd15899,EFh_CREC
85432,cd15900,EFh_MICU
85433,cd15901,EFh_DMD_DYTN_DTN
85434,cd15902,EFh_HEF
85435,cd15903,Dicer_PBD
85436,sd00038,Kelch
85437,cd15904,TSPO_MBR
85438,cd15905,7tmA_GPBAR1
85439,cd15906,7tmA_GPR162
85440,cd15907,7tmA_GPR153
85441,cd15908,7tm_TAS2R40-like
85442,cd15909,7tmF_FZD4_9_10-like
85443,cd15910,7tmF_FZD3_FZD6-like
85444,cd15911,7tmA_OR11A-like
85445,cd15912,7tmA_OR6C-like
85446,cd15913,7tmA_OR11G-like
85447,cd15914,7tmA_OR6N-like
85448,cd15915,7tmA_OR12D-like
85449,cd15916,7tmA_OR10G-like
85450,cd15917,7tmA_OR51_52-like
85451,cd15918,7tmA_OR1_7-like
85452,cd15919,7tmA_GPR139
85453,cd15920,7tmA_GPR34-like
85454,cd15921,7tmA_CysLTR
85455,cd15922,7tmA_P2Y-like
85456,cd15923,7tmA_GPR35_55-like
85457,cd15924,7tmA_P2Y12-like
85458,cd15925,7tmA_RNL3R2
85459,cd15926,7tmA_RNL3R1
85460,cd15927,7tmA_Bombesin_R-like
85461,cd15928,7tmA_GHSR-like
85462,cd15929,7tmB1_GlucagonR-like
85463,cd15930,7tmB1_Secretin_R-like
85464,cd15931,7tmB2_EMR_Adhesion_II
85465,cd15932,7tmB2_GPR116-like_Adhesion_VI
85466,cd15933,7tmB2_GPR133-like_Adhesion_V
85467,cd15934,7tmC_mGluRs_group2_3
85468,cd15935,7tmA_OR4Q3-like
85469,cd15936,7tmA_OR4D-like
85470,cd15937,7tmA_OR4N-like
85471,cd15938,7tmA_OR4Q2-like
85472,cd15939,7tmA_OR4A-like
85473,cd15940,7tmA_OR4E-like
85474,cd15941,7tmA_OR10S1-like
85475,cd15942,7tmA_OR10G6-like
85476,cd15943,7tmA_OR5AP2-like
85477,cd15944,7tmA_OR5AR1-like
85478,cd15945,7tmA_OR5C1-like
85479,cd15946,7tmA_OR1330-like
85480,cd15947,7tmA_OR2B-like
85481,cd15948,7tmA_OR52K-like
85482,cd15949,7tmA_OR52M-like
85483,cd15950,7tmA_OR52I-like
85484,cd15951,7tmA_OR52R_52L-like
85485,cd15952,7tmA_OR52E-like
85486,cd15953,7tmA_OR52P-like
85487,cd15954,7tmA_OR52N-like
85488,cd15955,7tmA_OR52A-like
85489,cd15956,7tmA_OR52W-like
85490,cd15957,7tmA_Beta2_AR
85491,cd15958,7tmA_Beta1_AR
85492,cd15959,7tmA_Beta3_AR
85493,cd15960,7tmA_GPR185-like
85494,cd15961,7tmA_GPR12
85495,cd15962,7tmA_GPR6
85496,cd15963,7tmA_GPR3
85497,cd15964,7tmA_TSH-R
85498,cd15965,7tmA_RXFP1_LGR7
85499,cd15966,7tmA_RXFP2_LGR8
85500,cd15967,7tmA_P2Y1-like
85501,cd15968,7tmA_P2Y6_P2Y3-like
85502,cd15969,7tmA_GPR87
85503,cd15970,7tmA_SSTR1
85504,cd15971,7tmA_SSTR2
85505,cd15972,7tmA_SSTR3
85506,cd15973,7tmA_SSTR4
85507,cd15974,7tmA_SSTR5
85508,cd15975,7tmA_ET-AR
85509,cd15976,7tmA_ET-BR
85510,cd15977,7tmA_ET-CR
85511,cd15978,7tmA_CCK-AR
85512,cd15979,7tmA_CCK-BR
85513,cd15980,7tmA_NPFFR2
85514,cd15981,7tmA_NPFFR1
85515,cd15982,7tmB1_PTH2R
85516,cd15983,7tmB1_PTH3R
85517,cd15984,7tmB1_PTH1R
85518,cd15985,7tmB1_GlucagonR-like_1
85519,cd15986,7tmB1_VIP-R2
85520,cd15987,7tmB1_PACAP-R1
85521,cd15988,7tmB2_BAI2
85522,cd15989,7tmB2_BAI3
85523,cd15990,7tmB2_BAI1
85524,cd15991,7tmB2_CELSR1
85525,cd15992,7tmB2_CELSR2
85526,cd15993,7tmB2_CELSR3
85527,cd15994,7tmB2_GPR111_115
85528,cd15995,7tmB2_GPR56
85529,cd15996,7tmB2_GPR126
85530,cd15997,7tmB2_GPR112
85531,cd15998,7tmB2_GPR124
85532,cd15999,7tmB2_GPR125
85533,cd16000,7tmB2_GPR123
85534,cd16001,7tmA_P2Y3-like
85535,cd16002,7tmA_NK1R
85536,cd16003,7tmA_NKR_NK3R
85537,cd16004,7tmA_SKR_NK2R
85538,cd16005,7tmB2_Latrophilin-3
85539,cd16006,7tmB2_Latrophilin-2
85540,cd16007,7tmB2_Latrophilin-1
85541,cd16008,CBM_14
85542,cd16009,PPM
85543,cd16010,iPGM
85544,cd16011,iPGM_like
85545,cd16012,ALP
85546,cd16013,AcpA
85547,cd16014,PLC
85548,cd16015,LTA_synthase
85549,cd16016,AP-SPAP
85550,cd16017,LptA
85551,cd16018,Enpp
85552,cd16019,GPI_EPT
85553,cd16020,GPI_EPT_1
85554,cd16021,ALP_like
85555,cd16022,sulfatase_like
85556,cd16023,GPI_EPT_3
85557,cd16024,GPI_EPT_2
85558,cd16025,PAS_like
85559,cd16026,GALNS_like
85560,cd16027,SGSH
85561,cd16028,PMH
85562,cd16029,4-S
85563,cd16030,iduronate-2-sulfatase
85564,cd16031,G6S_like
85565,cd16032,choline-sulfatase
85566,cd16033,sulfatase_like
85567,cd16034,sulfatase_like
85568,cd16035,sulfatase_like
85569,cd16036,arylsulfatase_like
85570,cd16037,sulfatase_like
85571,cd16038,GAIN
85572,sd00039,7WD40
85573,sd00040,7WD40_masterseqs
85574,cd16039,PHD_SPP1
85575,cd16040,SPRY_PRY_SNTX
85576,cd16041,OLF
85577,sd00041,GyrA-ParC_C
85578,cd16042,TNFSF2
85579,cd16043,TNFSF2_teleost
85580,cd16044,TNFSF1
85581,cd16045,TNFSF3
85582,cd16046,TNFSF4
85583,cd16047,TNFSF5
85584,cd16048,TNFSF5_teleost
85585,cd16049,TNFSF6
85586,cd16050,TNFSF6_teleost
85587,cd16051,TNFSF7
85588,cd16052,TNFSF8
85589,cd16053,TNFSF9
85590,cd16054,TNFSF9_teleost
85591,cd16055,TNFSF10
85592,cd16056,TNFSF10-like
85593,cd16057,TNFSF11
85594,cd16058,TNFSF11_teleost
85595,cd16059,TNFSF12
85596,cd16060,TNFSF12_teleost
85597,cd16061,TNFSF13
85598,cd16062,TNFSF13_teleost
85599,cd16063,TNFSF13B
85600,cd16064,TNFSF13B_teleost
85601,cd16065,TNFSF14
85602,cd16066,TNFSF14_teleost
85603,cd16067,TNFSF15
85604,cd16068,TNFSF15_teleost
85605,cd16069,TNFSF18
85606,cd16070,TNFSFalpha_insects
85607,cd16071,TNFSF_Eiger
85608,cd16072,TNF_EDA
85609,cd16073,TNF_EDA_teleost
85610,cd16074,OCRE
85611,cd16075,ORC6_CTD
85612,cl22851,PHD_SF
85613,cl22852,ADH_zinc_N_2
85614,cl22853,Motor_domain
85615,cl22854,HTH_XRE
85616,cl22855,TNFRSF
85617,cl22856,SNARE
85618,cl22857,Tropomyosin_1
85619,cl22858,CENP-F_leu_zip
85620,cl22859,RapZ
85621,cl22860,PEPCK_HprK
85622,cl22861,LamG
85623,cl22862,beta_rpt_yvtn
85624,cl22863,Str_synth
85625,cl22864,Glyco_transf_9
85626,cl22865,XPG_I
85627,cl22866,LY
85628,cl22867,Sigma70_r4
85629,cl22868,PHA02637
85630,cl22869,TIR_2
85631,cl22870,Ldl_recept_b
85632,cl22871,Glyco_hydro_2_C
85633,cl22872,Na_H_antiport_2
85634,cl22873,PQQ
85635,cl22874,IMS_HHH
85636,cl22875,EGF_Lam
85637,cl22876,Flavin_Reduct
85638,cl22877,Autotransporter
85639,cl22878,RNA_pol_Rpb1_7
85640,cl22879,D-aminoacyl_C
85641,cl22880,DUF1731
85642,cl22881,Lysine_decarbox
85643,cl22882,PRK07534
85644,cl22883,Bac_GDH
85645,cl22884,Gp_dh_N
85646,cl22885,Bromo_TP
85647,cl22886,GGCT_like
85648,cl22887,psbU
85649,cl22888,EamA
85650,cl22889,GAD
85651,cl22890,Nuc_deoxyrib_tr
85652,cl22891,GBP
85653,cl22892,DAZAP2
85654,cl22893,JmjC
85655,cl22894,Mem_trans
85656,cl22895,HTH_8
85657,cl22896,SpoVAD
85658,cl22897,TPR_2
85659,cl22898,HintC
85660,cl22899,UTRA
85661,cl22900,COG3432
85662,cl22901,RHH_1
85663,cl22902,PRK01293
85664,cl22903,Arrestin_N
85665,cl22904,CARDB
85666,cl22905,SPARC_EC
85667,cl22906,Cytochrom_C3
85668,cl22907,zf-U1
85669,cl22908,HTH_Hin_like
85670,cl22909,TBPIP
85671,cl22910,E2R135
85672,cl22911,PLN02150
85673,cl22912,CsbD
85674,cl22913,Ppnp
85675,cl22914,MIF
85676,cl22915,RAP
85677,cl22916,EF-hand_4
85678,cl22917,PNTB
85679,cl22918,AnmK
85680,cl22919,Tfb4
85681,cl22920,Bindin
85682,cl22921,YabA
85683,cl22922,Nodulin-like
85684,cl22923,DUF2268
85685,cl22924,7TM_GPCR_Srd
85686,cl22925,SLBB
85687,cl22926,Arabinose_Iso_C
85688,cl22927,TraG-D_C
85689,cl22928,EphA2_TM
85690,cl22929,DUF11
85691,cl22930,cyano_w_EgtBD
85692,cl22931,TAF12
85693,cl22932,DUF970
85694,cl22933,Spo0M
85695,cl22934,DUF1699
85696,cl22935,GP11
85697,cl22936,DUF2089
85698,cl22937,DUF2514
85699,cl22938,Folate_carrier
85700,cl22939,DUF45
85701,cl22940,RNA_pol_B_RPB2
85702,cl22941,Aminoglyc_resit
85703,cl22942,TOMM_pelo
85704,cl22943,DUF3693
85705,cl22944,PRK10081
85706,cl22945,PHA03195
85707,cl22946,Auxin_inducible
85708,cl22947,DUF418
85709,cl22948,FeoC
85710,cl22949,Collagen
85711,cl22950,PsbQ
85712,cl22951,Vps51
85713,cl22952,Pou
85714,cl22953,RCC_reductase
85715,cl22954,CASP8AP2
85716,cl22955,Paired_CXXCH_1
85717,cl22956,Pumilio
85718,cl22957,CASH
85719,cl22958,Agenet
85720,cl22959,VRR_NUC
85721,cl22960,T4_gp9_10
85722,cl22961,RNA_Me_trans
85723,cl22962,DUF1971
85724,cl22963,PEP-utilizers
85725,cl22964,COG3905
85726,cl22965,COG4692
85727,cl22966,DUF1330
85728,cl22967,RNA_pol_Rpb2_6
85729,cl22968,AsnC_trans_reg
85730,cl22969,Cytochrom_CIII
85731,cl22970,Sulfotransfer_2
85732,cl22971,DUF1168
85733,cl22972,DUF1228
85734,cl22973,Plug
85735,cl22974,HpaP
85736,cl22975,NSRP1_N
85737,cl22976,1-cysPrx_C
85738,cl22977,UvrD_C_2
85739,cl22978,rve_3
85740,cl22979,DUF4412
85741,cl22980,Csx12
85742,cl22981,SusC_RagA_signa
85743,cl22982,PyrBI_leader
85744,cl22983,Tna_leader
85745,cl22984,PRK09806
85746,cl22985,gpD
85747,cl22986,psbX
85748,cl22987,PRK01844
85749,cl22988,PHA00780
85750,cl22989,Cytochrom_B559
85751,cl22990,Flg_bb_rod
85752,cl22991,Cathelicidins
85753,cl22992,MetJ
85754,cl22993,A_amylase_inhib
85755,cl22994,PsbT
85756,cl22995,Toxin_9
85757,cl22996,DMA
85758,cl22997,YopE
85759,cl22998,PapG_N
85760,cl22999,UPF0154
85761,cl23000,Amb_V_allergen
85762,cl23001,Microvir_lysis
85763,cl23002,Microvir_H
85764,cl23003,Holin_BlyA
85765,cl23004,FlaC_arch
85766,cl23005,SpvD
85767,cl23006,DUF1181
85768,cl23007,DUF1187
85769,cl23008,UPF0259
85770,cl23009,VirD1
85771,cl23010,RepA1_leader
85772,cl23011,Leu_leader
85773,cl23012,HTH_CodY
85774,cl23013,TetR_C_4
85775,cl23014,TetR_C_2
85776,cl23015,M16C_assoc
85777,cl23016,Arc_trans_TRASH
85778,cl23017,L27_2
85779,cl23018,TyeA
85780,cl23019,Ubiq-assoc
85781,cl23020,Pfg27
85782,cl23021,Ste50p-SAM
