id,nme,shortnme
361,smart00250,PLEC
362,smart00251,SAM_PNT
363,smart00252,SH2
364,smart00253,SOCS
365,smart00254,ShKT
366,smart00255,TIR
367,smart00256,FBOX
368,smart00257,LysM
369,smart00258,SAND
370,smart00259,ZnF_A20
371,smart00260,CheW
372,smart00261,FU
373,smart00262,GEL
374,smart00263,LYZ1
375,smart00264,BAG
376,smart00265,BH4
377,smart00266,CAD
378,smart00267,GGDEF
379,smart00268,ACTIN
380,smart00269,BowB
381,smart00270,ChtBD1
382,smart00271,DnaJ
383,smart00272,END
384,smart00273,ENTH
385,smart00274,FOLN
386,smart00275,G_alpha
387,smart00276,GLECT
388,smart00277,GRAN
389,smart00278,HhH1
390,smart00279,HhH2
391,smart00280,KAZAL
392,smart00281,LamB
393,smart00282,LamG
394,smart00283,MA
395,smart00284,OLF
396,smart00285,PBD
397,smart00286,PTI
398,smart00287,SH3b
399,smart00288,VHS
400,smart00289,WR1
401,smart00290,ZnF_UBP
402,smart00291,ZnF_ZZ
403,smart00292,BRCT
404,smart00293,PWWP
405,smart00294,4.1m
406,smart00295,B41
407,smart00297,BROMO
408,smart00298,CHROMO
409,smart00299,CLH
410,smart00300,ChSh
411,smart00301,DM
412,smart00302,GED
413,smart00303,GPS
414,smart00304,HAMP
415,smart00305,HintC
416,smart00306,HintN
417,smart00307,ILWEQ
418,smart00308,LH2
419,smart00309,PAH
420,smart00310,PTBI
421,smart00311,PWI
422,smart00312,PX
423,smart00313,PXA
424,smart00314,RA
425,smart00315,RGS
426,smart00316,S1
427,smart00317,SET
428,smart00318,SNc
429,smart00319,TarH
430,smart00320,WD40
431,smart00321,WSC
432,smart00322,KH
433,smart00323,RasGAP
434,smart00324,RhoGAP
435,smart00325,RhoGEF
436,smart00326,SH3
437,smart00327,VWA
438,smart00328,BPI1
439,smart00329,BPI2
440,smart00330,PIPKc
441,smart00331,PP2C_SIG
442,smart00332,PP2Cc
443,smart00333,TUDOR
444,smart00335,ANX
445,smart00336,BBOX
446,smart00337,BCL
447,smart00338,BRLZ
448,smart00339,FH
449,smart00340,HALZ
450,smart00341,HRDC
451,smart00342,HTH_ARAC
452,smart00343,ZnF_C2HC
453,smart00344,HTH_ASNC
454,smart00345,HTH_GNTR
455,smart00346,HTH_ICLR
456,smart00347,HTH_MARR
457,smart00348,IRF
458,smart00349,KRAB
459,smart00350,MCM
460,smart00351,PAX
461,smart00352,POU
462,smart00353,HLH
463,smart00354,HTH_LACI
464,smart00355,ZnF_C2H2
465,smart00356,ZnF_C3H1
466,smart00357,CSP
467,smart00358,DSRM
468,smart00359,PUA
469,smart00360,RRM
470,smart00361,RRM_1
471,smart00363,S4
472,smart00364,LRR_BAC
473,smart00365,LRR_SD22
474,smart00366,LRR_PS
475,smart00367,LRR_CC
476,smart00368,LRR_RI
477,smart00369,LRR_TYP
478,smart00380,AP2
479,smart00382,AAA
480,smart00384,AT_hook
481,smart00385,CYCLIN
482,smart00386,HAT
483,smart00387,HATPase_c
484,smart00388,HisKA
485,smart00389,HOX
486,smart00390,GoLoco
487,smart00391,MBD
488,smart00392,PROF
489,smart00393,R3H
490,smart00394,RIIa
491,smart00395,SANT
492,smart00396,ZnF_UBR1
493,smart00397,t_SNARE
494,smart00398,HMG
495,smart00399,ZnF_C4
496,smart00400,ZnF_CHCC
497,smart00401,ZnF_GATA
498,smart00404,PTPc_motif
499,smart00406,IGv
500,smart00407,IGc1
501,smart00408,IGc2
502,smart00409,IG
503,smart00411,BHL
504,smart00412,Cu_FIST
505,smart00413,ETS
506,smart00414,H2A
507,smart00415,HSF
508,smart00417,H4
509,smart00418,HTH_ARSR
510,smart00419,HTH_CRP
511,smart00420,HTH_DEOR
512,smart00421,HTH_LUXR
513,smart00422,HTH_MERR
514,smart00423,PSI
515,smart00424,STE
516,smart00425,TBOX
517,smart00426,TEA
518,smart00427,H2B
519,smart00428,H3
520,smart00429,IPT
521,smart00430,HOLI
522,smart00431,SCAN
523,smart00432,MADS
524,smart00433,TOP2c
525,smart00434,TOP4c
526,smart00435,TOPEUc
527,smart00436,TOP1Bc
528,smart00437,TOP1Ac
529,smart00438,ZnF_NFX
530,smart00439,BAH
531,smart00440,ZnF_C2C2
532,smart00441,FF
533,smart00442,FGF
534,smart00443,G_patch
535,smart00444,GYF
536,smart00445,LINK
537,smart00446,LRRcap
538,smart00448,REC
539,smart00449,SPRY
540,smart00450,RHOD
541,smart00451,ZnF_U1
542,smart00452,STI
543,smart00453,WSN
544,smart00454,SAM
545,smart00455,RBD
546,smart00456,WW
547,smart00457,MACPF
548,smart00458,RICIN
549,smart00459,Sorb
550,smart00460,TGc
551,smart00461,WH1
552,smart00462,PTB
553,smart00463,SMR
554,smart00464,LON
555,smart00465,GIYc
556,smart00466,SRA
557,smart00467,GS
558,smart00468,PreSET
559,smart00469,WIF
560,smart00470,ParB
561,smart00471,HDc
562,smart00472,MIR
563,smart00473,PAN_AP
564,smart00474,35EXOc
565,smart00475,53EXOc
566,smart00476,DNaseIc
567,smart00477,NUC
568,smart00478,ENDO3c
569,smart00479,EXOIII
570,smart00480,POL3Bc
571,smart00481,POLIIIAc
572,smart00482,POLAc
573,smart00483,POLXc
574,smart00484,XPGI
575,smart00485,XPGN
576,smart00486,POLBc
577,smart00487,DEXDc
578,smart00488,DEXDc2
579,smart00490,HELICc
580,smart00491,HELICc2
581,smart00493,TOPRIM
582,smart00494,ChtBD2
583,smart00495,ChtBD3
584,smart00496,IENR2
585,smart00497,IENR1
586,smart00498,FH2
587,smart00499,AAI
588,smart00500,SFM
589,smart00501,BRIGHT
590,smart00502,BBC
591,smart00503,SynN
592,smart00504,Ubox
593,smart00505,Knot1
594,smart00506,A1pp
595,smart00507,HNHc
596,smart00508,PostSET
597,smart00509,TFS2N
598,smart00510,TFS2M
599,smart00511,ORANGE
600,smart00512,Skp1
601,smart00513,SAP
602,smart00515,eIF5C
603,smart00516,SEC14
604,smart00517,PolyA
605,smart00518,AP2Ec
606,smart00520,BASIC
607,smart00521,CBF
608,smart00523,DWA
609,smart00524,DWB
610,smart00525,FES
611,smart00526,H15
612,smart00527,HMG17
613,smart00528,HNS
614,smart00529,HTH_DTXR
615,smart00530,HTH_XRE
616,smart00531,TFIIE
617,smart00532,LIGANc
618,smart00533,MUTSd
619,smart00534,MUTSac
620,smart00535,RIBOc
621,smart00536,AXH
622,smart00537,DCX
623,smart00538,POP4
624,smart00539,NIDO
625,smart00540,LEM
626,smart00541,FYRN
627,smart00542,FYRC
628,smart00543,MIF4G
629,smart00544,MA3
630,smart00545,JmjN
631,smart00546,CUE
632,smart00547,ZnF_RBZ
633,smart00548,IRO
634,smart00549,TAFH
635,smart00550,Zalpha
636,smart00551,ZnF_TAZ
637,smart00552,ADEAMc
638,smart00553,SEP
639,smart00554,FAS1
640,smart00555,GIT
641,smart00557,IG_FLMN
642,smart00558,JmjC
643,smart00559,Ku78
644,smart00560,LamGL
645,smart00561,MBT
646,smart00562,NDK
647,smart00563,PlsC
648,smart00564,PQQ
649,smart00566,SOG
650,smart00567,EZ_HEAT
651,smart00568,GRAM
652,smart00569,L27
653,smart00571,DDT
654,smart00572,DZF
655,smart00581,PSP
656,smart00586,ZnF_DBF
657,smart00592,BRK
658,smart00593,RUN
659,smart00594,UAS
660,smart00595,MADF
661,smart00602,VPS10
662,smart00603,LCCL
663,smart00604,MD
664,smart00605,CW
665,smart00606,CBD_IV
666,smart00607,FTP
667,smart00608,ACR
668,smart00609,VIT
669,smart00611,SEC63
670,smart00612,Kelch
671,smart00614,ZnF_BED
672,smart00615,EPH_lbd
673,smart00630,Sema
674,smart00631,Zn_pept
675,smart00632,Aamy_C
676,smart00633,Glyco_10
677,smart00634,BID_1
678,smart00635,BID_2
679,smart00636,Glyco_18
680,smart00637,CBD_II
681,smart00638,LPD_N
682,smart00639,PSA
683,smart00640,Glyco_32
684,smart00641,Glyco_25
685,smart00642,Aamy
686,smart00643,C345C
687,smart00644,Ami_2
688,smart00645,Pept_C1
689,smart00646,Ami_3
690,smart00647,IBR
691,smart00648,SWAP
692,smart00649,RL11
693,smart00650,rADc
694,smart00651,Sm
