malto-oligosyltrehalose trehalohydrolase
indolepyruvate ferredoxin oxidoreductase subunit alpha
mRNA cap guanine-N7 methyltransferase
DUF2156 domain-containing protein
type I-E CRISPR-associated protein Cse1/CasA
dehydrogenase/reductase SDR family member 
FAS-associated factor 2
mycofactocin biosynthesis chaperone MftB
DUF3750 domain-containing protein
dolichyl-phosphate beta-glucosyltransferase
fibronectin-binding protein
YfaP family protein
bifunctional lytic transglycosylase/C40 family peptidase
CsbD family protein
salicylate 1-monooxygenase
Z-ring formation inhibitor MciZ
vacuolar protein sorting-associated protein 4
UPF0669 family protein
isoaspartyl dipeptidase
DUF3460 family protein
TCF/LEF family transcription factor
DUF61 family protein
AIM24 family protein
DUF4448 domain-containing protein
efflux transporter outer membrane subunit
carboxy-S-adenosyl-L-methionine synthase CmoA
DUF2225 domain-containing protein
zinc-binding metallopeptidase
DUF2254 domain-containing protein
DUF3991 and TOPRIM domain-containing protein
DUF4240 domain-containing protein
2,3-diketo-5-methylthiopentyl-1-phosphate enolase
ALK/LTK family receptor protein-tyrosine kinase
protein-methionine-sulfoxide reductase catalytic subunit MsrP
TIGR02922 family protein
nicotianamine synthase
uL15m family ribosomal protein
formin-binding protein 1
actin-depolymerizing factor
GAF domain-containing protein
DUF1195 domain-containing protein
NO-inducible flavohemoprotein
NAD kinase
Lrp/AsnC family transcriptional regulator
Hpt domain-containing protein
spike glycoprotein
fused family serine/threonine-protein kinase
centrin
RAD4 DNA repair family protein
phospholipid-binding lipoprotein MlaA
DUF1563 domain-containing protein
FACT complex subunit Spt16 family protein
Gab family PH domain-containing protein
teichoic acid D-Ala incorporation-associated protein DltX
isopentenyl-diphosphate delta-isomerase
CDKL family serine/threonine-protein kinase
acireductone dioxygenase
DUF563 domain-containing protein
DUF4418 family protein
DUF3215 domain-containing protein
catecholate siderophore receptor CirA
poly-gamma-glutamate hydrolase family protein
nickel-dependent hydrogenase large subunit
DUF4548 domain-containing protein
ArdC family protein
DUF5331 domain-containing protein
shroom family protein
inosine/guanosine kinase
serine O-acetyltransferase
PD-(D/E)XK motif protein
syntaxin family protein
L-carnitine/gamma-butyrobetaine antiport BCCT transporter
3-isopropylmalate dehydratase large subunit
BAR domain-containing protein
UDP-sulfoquinovose synthase
DUF2247 family protein
DMT family transporter
DUF620 domain-containing protein
ribosomal L18ae family protein
aldo/keto reductase
METTL5 family protein
non-histone chromosomal protein 6
trimethylamine dehydrogenase
DUF2268 domain-containing protein
DUF2534 family protein
neurobeachin family protein
lipid-transfer protein
lactate permease LctP family transporter
molybdenum cofactor guanylyltransferase
LeuA family protein
CpaE-like family protein
SEC61-beta family protein
CBL-interacting protein kinase
CrRSP7 family protein
MDR family MFS transporter/patatin-like phospholipase family protein
TMEM181/wntless family protein
TraR/DksA C4-type zinc finger protein
Hsp70 family protein
MHC_I domain-containing protein
xanthine dehydrogenase accessory protein XdhC
DUF3435 domain-containing protein
ATP phosphoribosyltransferase
VTC1 family protein
MAPEG family protein
DUF1175 domain-containing protein
Paf1 domain-containing protein
leukocidin/hemolysin toxin family protein
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
YaeQ family protein
saposin domain-containing protein
iron-sulfur cluster-binding protein
alpha-1,4-glucan--maltose-1-phosphate maltosyltransferase
NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit
signal peptidase II
DUF1446 domain-containing protein
Vps53-like N-terminal domain-containing protein
AI-2E family transporter
bL19 family ribosomal protein
phosphoenolpyruvate hydrolase family protein
sigma factor-dependent transcriptional regulator TyrR
succinate dehydrogenase hydrophobic membrane anchor subunit
VHS/ENTH/ANTH domain-containing protein
dTDP-4-amino-4,6-dideoxygalactose transaminase
CopG family ribbon-helix-helix protein
MKP1 family protein-tyrosine-phosphatase
sugar porter family MFS transporter
NADPH cytochrome P450 oxidoreductase family protein
DUF1731 domain-containing protein
carboxylesterase
ribonuclease III
heme lyase CcmF/NrfE family subunit
KCNG family potassium voltage-gated channel protein
spore cortex biosynthesis protein YabQ
importin-beta family protein
iron ABC transporter substrate-binding protein
non-heme ferritin
Bax inhibitor-1 family protein
OmpP1/FadL family transporter
DUF4200 domain-containing protein
N-acetylglucosamine-binding protein GbpA
anillin family PH domain-containing protein
cell division cycle-associated 7 family protein
flagellar basal body-associated FliL family protein
MYST family histone acetyltransferase
type I-F CRISPR-associated protein Csy
CoxG family protein
class II fumarate hydratase
Co(2+)/Mg(2+) efflux protein ApaG
phosphatidylinositol kinase family protein
phosphotriesterase-related protein
TIGR04325 family methyltransferase
saccharopine dehydrogenase family protein
serine hydrolase domain-containing protein
2-oxo-hepta-3-ene-1,7-dioic acid hydratase
3-hydroxybutyrate dehydrogenase
DUF5133 domain-containing protein
endosome-associated ubiquitin isopeptidase
IND family subclass B1 metallo-beta-lactamase
M85 family metallopeptidase
OapA family protein
lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
UBP-type zinc finger domain-containing protein
V-type proton ATPase subunit
RPN13/ADRM1 family protein
succinate dehydrogenase subunit 5
DUF5379 domain-containing protein
DNA primase
hemin-degrading factor
mycothiol conjugate amidase Mca
pseudaminic acid synthase
pyruvate carboxylase
unc-51/ULK1 family serine/threonine-protein kinase
DUF2095 domain-containing protein
PanM family protein
sodium/potassium:proton antiporter
formaldehyde-activating enzyme
ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB
DUF723 domain-containing protein
MEI2-like RNA-binding protein
DUF4638 domain-containing protein
DUF917 domain-containing hydantoinase/oxoprolinase family protein
bifunctional pantoate--beta-alanine ligase/(d)CMP kinase
histidine ammonia-lyase
ribosome-binding factor A
DUF4424 domain-containing protein
TolB-like 6-bladed beta-propeller domain-containing protein
PhzF family protein
WYL domain-containing transcriptional regulator
acetyl-CoA carboxylase biotin carboxyl carrier protein
PRY/SPRY domain-containing protein
DUF3270 domain-containing protein
isoleucine--tRNA ligase
metal ABC transporter solute-binding protein
protein GPR15L
acetylornithine deacetylase
low density lipoprotein receptor adapter protein 1 family protein
type I restriction endonuclease subunit R
bifunctional terpene synthase/polyprenyl synthetase family protein
ANTH domain-containing protein
leukocyte immunoglobulin-like receptor family protein
YuzD family protein
DUF3905 domain-containing protein
histidine triad nucleotide-binding protein
LON peptidase N-terminal domain and RING finger protein
mercury(II) reductase
DUF4397 domain-containing protein
four-carbon acid sugar kinase family protein
bifunctional aminodeoxychorismate synthase component I/class IV aminotransferase
NADH dehydrogenase subunit
ubiquitin-conjugating enzyme E2
cyclic beta 1-2 glucan synthetase family protein
adenylyl cyclase-associated domain-containing protein
LTA synthase family protein
Rho-binding antiterminator
I-BAR and SH3 domain-containing protein
NAGSA dehydrogenase family protein
5'-deoxynucleotidase
beta-ketoacyl synthase
choline/ethanolamine kinase family protein
annexin
Fap385 family dimerization domain-containing protein
rubredoxin
dehydrogenase/reductase SDR family member
DUF2766 domain-containing protein
DUF3994 domain-containing protein
COX15/CtaA family protein
RAD1 family protein
DUF1643 domain-containing protein
HPS-like domain-containing protein
exodeoxyribonuclease I
2-octaprenylphenol hydroxylase
amino acid transporter
ethanolamine-phosphate cytidylyltransferase
ATP-binding SpoIIE family protein phosphatase
acid shock protein
adaptor protein MecA
exportin 1 C-terminal region
FimH/SfmH family fimbrial protein
HIT domain-containing protein
Ntn hydrolase family protein
PPN1 endopolyphosphatase family protein
conjugative transfer relaxase/helicase family protein
anaerobic sulfatase maturase
Sec20 domain-containing protein
tRNA-intron lyase
nucleotidyl transferase family protein
phage coat protein
SCP2 domain-containing protein
pyridoxine/pyridoxal/pyridoxamine kinase
Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase
elongation of very long chain fatty acids protein
Cof-type HAD-IIB family hydrolase
GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
DUF2200 domain-containing protein
DUF3788 domain-containing protein
phosducin family protein
SKIP/SNW1 family protein
A24 family peptidase; A24 family peptidase; prepilin peptidase
DUF4266 domain-containing protein
bifunctional hexulose-6-phosphate synthase/ribonuclease regulator
flagellar motor stator protein MotA
DUF3809 domain-containing protein
gp16 family protein
GSK3-beta interaction protein
phosphopantothenoylcysteine synthetase/decarboxylase family protein
homeodomain-interacting protein kinase
carbon dioxide-concentrating mechanism protein
CvpA family protein
ribulokinase
M56/M15 family metallopeptidase
RPA family protein
LapA family protein
two-component system regulatory protein
aspartate kinase
DUF4767 domain-containing protein
conjugal transfer pilus assembly protein TraU
villin/gelsolin family protein
NADAR family protein
low molecular weight protein arginine phosphatase
isocitrate lyase
2-oxoglutarate dehydrogenase subunit E1
tRNA uridine(34) hydroxylase
DUF2860 domain-containing protein
phosphoribosyl-ATP pyrophosphatase
flavodoxin FldB
nitric oxide synthase-interacting protein
NUAK family SNF1-like kinase 2
bifunctional arginine demethylase and lysyl-hydroxylase
S66 peptidase family protein
DUF3261 domain-containing protein
MCP1 family protein
class 1b ribonucleoside-diphosphate reductase subunit beta
leucine-rich repeat protein kinase family protein
glucarate dehydratase family protein
adenosylcobalamin/alpha-ribazole phosphatase
AraC family transcriptional regulator
TDT family transporter
cysteine desulfurase
serine incorporator domain-containing protein
SWI5/SAE3 family protein
ribonucleoprotein, PTB binding 2
SPRY domain-containing protein
DUF3572 domain-containing protein
GTP 3',8-cyclase MoaA family protein
Atu4866 domain-containing protein
bubblegum family long-chain-fatty-acid--CoA ligase
RNA polymerase Rpb4 family protein
